k, I, deltaI, result, shouldFit, time
0.08,0.3503553,0.02802842,False,True,19666
0.08,0.7090525,0.0567242,True,False,18463
0.08,0.6618511,0.05294809,False,False,7079
0.08,0.4764514,0.03811611,True,False,15402
0.08,0.2750544,0.02200435,True,True,2803
0.08,0.6447912,0.05158329,True,True,14032
0.08,0.2247594,0.01798075,True,False,2319
0.08,0.478826,0.03830608,False,False,1337
0.08,0.7188811,0.05751048,True,True,2413
0.04,0.4235831,0.01694333,True,False,25075
0.04,0.5635164,0.02254065,True,True,1391
0.04,0.344187,0.01376748,True,False,2171
0.04,0.6317514,0.02527006,False,False,1459
0.04,0.2427435,0.009709741,True,False,2283
0.04,0.4585125,0.0183405,False,False,1255
0.04,0.2704485,0.01081794,True,False,2005
0.04,0.2602663,0.01041065,True,False,4010
0.04,0.7842802,0.03137121,False,False,2062
0.02,0.6133968,0.01226794,False,True,32266
0.02,0.4881883,0.009763766,False,True,2954
0.02,0.1162344,0.002324689,True,False,2174
0.02,0.4334498,0.008668995,True,True,2175
0.02,0.7765101,0.0155302,True,True,1777
0.02,0.7537971,0.01507594,False,True,3479
0.02,0.4081571,0.008163141,True,True,5196
0.02,0.2555942,0.005111884,False,True,8151
0.02,0.5617166,0.01123433,False,False,4336
0.03,0.2788122,0.008364366,False,True,4081
0.03,0.7707284,0.02312185,True,True,1502
0.03,0.5777692,0.01733308,True,True,2351
0.03,0.4217624,0.01265287,False,False,2116
0.03,0.1950563,0.00585169,True,False,2027
0.03,0.3638853,0.01091656,False,False,1566
0.03,0.5774894,0.01732468,False,False,1613
0.03,0.6000857,0.01800257,True,False,2040
0.03,0.5396705,0.01619011,False,False,1410
