k, I, deltaI, result, shouldFit, time
0.08,0.1149061,0.00919249,False,False,61885
0.08,0.5994658,0.04795726,True,False,9117
0.08,0.3210669,0.02568536,True,True,26239
0.08,0.7834795,0.06267835,False,True,17347
0.08,0.6750858,0.05400687,True,True,16468
0.08,0.3000709,0.02400568,True,True,3091
0.08,0.3221716,0.02577373,True,True,18013
0.08,0.4324267,0.03459414,False,True,2486
0.08,0.5151879,0.04121503,True,True,4924
0.04,0.1670597,0.006682388,False,True,15309
0.04,0.6982993,0.02793197,True,True,17919
0.04,0.3702052,0.01480821,False,False,5313
0.04,0.3503471,0.01401388,False,True,1882
0.04,0.6800722,0.02720289,True,True,2522
0.04,0.2968601,0.0118744,True,True,2769
0.04,0.5615619,0.02246247,False,False,1723
0.04,0.6151068,0.02460427,False,False,2478
0.04,0.5517229,0.02206891,False,False,7829
0.06,0.5590997,0.03354598,False,True,3301
0.06,0.2218029,0.01330817,True,False,35758
0.06,0.4536545,0.02721927,True,False,14347
0.06,0.6230561,0.03738337,False,True,3235
0.06,0.4298252,0.02578951,True,False,3703
0.06,0.4681172,0.02808703,True,True,2246
0.06,0.1905314,0.01143189,False,True,23496
0.06,0.3676598,0.02205959,True,False,2205
0.06,0.2175368,0.01305221,False,False,76
0.05,0.3109779,0.0155489,True,True,4677
0.05,0.2319174,0.01159587,False,True,16165
0.05,0.2441115,0.01220558,True,True,2918
0.05,0.1010876,0.005054382,True,False,4425
0.05,0.1288584,0.006442919,False,True,36562
0.05,0.661719,0.03308595,True,True,4242
0.05,0.1040054,0.005200267,True,False,11207
0.05,0.2634901,0.0131745,True,False,5630
0.05,0.6129733,0.03064867,True,False,7645
0.045,0.4334128,0.01950357,False,False,15833
0.045,0.2616768,0.01177546,True,False,3713
0.045,0.2304843,0.01037179,True,False,3299
0.045,0.1181086,0.005314885,False,True,6209
0.045,0.3573963,0.01608283,False,False,3677
0.045,0.663331,0.02984989,True,True,16887
0.045,0.2985328,0.01343397,False,False,3680
0.045,0.6031376,0.02714119,True,True,11380
0.045,0.2953932,0.01329269,True,False,1745
0.0425,0.6938868,0.02949019,True,True,5806
0.0425,0.5143408,0.02185948,True,False,2155
0.0425,0.3679541,0.01563805,False,False,4580
0.0425,0.2188079,0.009299334,True,False,9239
0.0425,0.5353396,0.02275193,False,False,10224
0.0425,0.6637285,0.02820846,True,False,12930
0.0425,0.5934774,0.02522279,True,True,2874
0.0425,0.2415511,0.01026592,True,False,2221
0.0425,0.4248699,0.01805697,False,False,3268
0.04125,0.7176415,0.02960271,True,True,2996
0.04125,0.2631716,0.01085583,False,True,2738
0.04125,0.116021,0.004785865,True,True,26659
0.04125,0.1445553,0.005962904,False,True,1996
0.04125,0.5386169,0.02221795,True,True,9579
0.04125,0.4044008,0.01668153,True,True,3523
0.04125,0.147659,0.006090933,False,True,2238
0.04125,0.2453141,0.01011921,True,True,2999
0.04125,0.3882192,0.01601404,True,True,3080
0.040625,0.4493713,0.01825571,False,True,3279
0.040625,0.1006083,0.004087213,True,False,1559
0.040625,0.5066625,0.02058317,False,False,1719
0.040625,0.2435333,0.009893542,True,False,5936
0.040625,0.7483289,0.03040086,True,True,3211
0.040625,0.5386203,0.02188145,False,False,12096
0.040625,0.6816225,0.02769091,True,False,1726
0.040625,0.5650288,0.0229543,False,False,5052
0.040625,0.5171213,0.02100805,True,True,3853
0.0403125,0.5941335,0.02395101,True,False,3613
0.0403125,0.2102303,0.008474907,True,True,3781
0.0403125,0.1530038,0.006167965,True,False,1655
0.0403125,0.527583,0.02126819,False,False,2051
0.0403125,0.478825,0.01930263,True,True,14359
0.0403125,0.4184052,0.01686696,False,True,1600
0.0403125,0.2604766,0.01050046,True,False,1594
0.0403125,0.620095,0.02499758,False,False,1499
0.0403125,0.1366535,0.005508846,False,True,1840
0.04015625,0.7510034,0.03015748,True,True,1503
0.04015625,0.328822,0.01320426,True,True,1451
0.04015625,0.5505257,0.02210705,False,False,2627
0.04015625,0.7411802,0.02976302,False,False,1577
0.04015625,0.5679635,0.02280728,True,True,2045
0.04015625,0.5770578,0.02317248,True,True,2301
0.04015625,0.6564431,0.02636029,True,False,1977
0.04015625,0.3434729,0.01379258,True,False,1162
0.04015625,0.2618387,0.01051446,False,True,3115
0.04007812,0.5598124,0.02243623,False,False,2555
0.04007812,0.4673879,0.01873203,True,True,9919
0.04007812,0.289555,0.01160482,True,False,1433
0.04007812,0.7374403,0.02955522,False,True,1583
0.04007812,0.5972022,0.02393474,True,False,1470
0.04007812,0.593294,0.02377811,True,True,1322
0.04007812,0.6113375,0.02450126,True,False,2319
0.04007812,0.347424,0.0139241,True,True,2096
0.04007812,0.4881599,0.01956453,True,True,2933
0.04003906,0.7168543,0.02870217,True,True,1547
0.04003906,0.1575516,0.006308216,True,False,1542
0.04003906,0.224895,0.009004586,True,False,1397
0.04003906,0.3916025,0.0156794,True,True,3568
0.04003906,0.362684,0.01452152,True,False,956
0.04003906,0.7441159,0.0297937,True,True,1400
0.04003906,0.2714414,0.01086826,True,True,2278
0.04003906,0.7646713,0.03061672,False,False,1366
0.04003906,0.1269283,0.005082089,True,True,1726
0.04001953,0.4746208,0.0189941,False,False,1611
0.04001953,0.5014179,0.02006651,False,False,1943
0.04001953,0.6682851,0.02674446,True,False,1251
0.04001953,0.7297688,0.029205,True,False,1587
0.04001953,0.2364772,0.009463704,False,False,2093
0.04001953,0.220472,0.008823183,True,False,1138
0.04001953,0.4659872,0.01864859,True,True,2160
0.04001953,0.1213827,0.004857677,False,True,1650
0.04001953,0.214314,0.008576746,False,False,2018
0.04002929,0.6907933,0.02765197,False,False,1473
0.04002929,0.5441695,0.02178272,True,True,1651
0.04002929,0.6408841,0.02565414,True,False,3092
0.04002929,0.5830648,0.02333967,True,True,22036
0.04002929,0.441575,0.01767593,False,False,5443
0.04002929,0.1371208,0.00548885,True,False,6696
0.04002929,0.5891423,0.02358295,True,True,5271
0.04002929,0.6564038,0.02627538,True,False,5763
0.04002929,0.6187024,0.02476622,True,True,12291
0.04002441,0.5837443,0.02336402,True,False,1656
0.04002441,0.3322656,0.01329873,False,False,4691
0.04002441,0.293571,0.01175001,True,True,34505
0.04002441,0.5257589,0.02104319,True,True,2472
0.04002441,0.2847677,0.01139766,True,False,2843
0.04002441,0.5342907,0.02138467,True,False,1609
0.04002441,0.6186385,0.02476064,False,True,3557
0.04002441,0.2227354,0.008914852,True,False,8941
0.04002441,0.293317,0.01173984,True,False,1599
0.04002197,0.2025745,0.008107431,True,False,2969
0.04002197,0.7345238,0.02939709,True,False,1267
0.04002197,0.7268147,0.02908856,True,False,1524
0.04002197,0.3012369,0.01205609,True,True,2007
0.04002197,0.4214168,0.01686593,True,True,4792
0.04002197,0.2207575,0.00883515,True,False,1708
0.04002197,0.1278172,0.005115497,True,True,2747
0.04002197,0.3855402,0.01543008,True,False,1262
0.04002197,0.7803077,0.03122945,False,True,1449
0.04002075,0.2740127,0.01096619,True,True,1411
0.04002075,0.5232766,0.02094192,False,True,2194
0.04002075,0.6586611,0.02636011,False,True,1374
0.04002075,0.5602606,0.02242205,False,True,1672
0.04002075,0.323419,0.01294347,True,True,1266
0.04002075,0.7410057,0.0296556,True,False,1265
0.04002075,0.3735203,0.01494856,False,True,3379
0.04002075,0.6182408,0.02474246,True,True,5836
0.04002075,0.3043608,0.01218074,True,False,6019
0.04002013,0.7360038,0.02945497,True,True,5769
0.04002013,0.1795975,0.007187517,True,False,2226
0.04002013,0.7972128,0.03190456,True,True,1375
0.04002013,0.7637134,0.03056391,False,True,2643
0.04002013,0.5302525,0.02122078,False,False,1041
0.04002013,0.4150369,0.01660983,False,False,928
0.04002013,0.1440744,0.005765875,True,True,1596
0.04002013,0.3528444,0.01412088,False,False,928
0.04002013,0.242774,0.00971585,True,True,1558
0.04001983,0.3432695,0.01373759,False,False,148
0.04001983,0.7189047,0.02877044,True,False,1040
0.04001983,0.2067792,0.00827527,False,False,185
0.04001983,0.4539406,0.01816662,False,False,297
0.04001983,0.7050846,0.02821737,True,True,148
0.04001983,0.1891851,0.007571156,True,True,110
0.04001983,0.1722444,0.006893191,False,True,222
0.04001983,0.1718983,0.006879339,False,True,333
0.04001983,0.298278,0.01193704,True,True,371
