k, I, deltaI, result, shouldFit, time
0.08,0.5597951,0.04478361,False,True,5655
0.08,0.3771744,0.03017395,True,False,1694
0.08,0.642111,0.05136888,True,True,1904
0.08,0.6314316,0.05051453,True,False,2115
0.08,0.5006262,0.0400501,False,False,1574
0.08,0.3761184,0.03008947,True,True,1131
0.08,0.4863529,0.03890823,True,True,1614
0.08,0.4781269,0.03825016,True,True,730
0.08,0.4806664,0.03845331,True,True,876
0.04,0.7592492,0.03036997,True,False,1624
0.04,0.3947365,0.01578946,True,False,5920
0.04,0.5693228,0.02277291,True,True,1180
0.04,0.4347408,0.01738963,True,True,1195
0.04,0.7898073,0.03159229,True,True,1442
0.04,0.5463194,0.02185278,True,False,2788
0.04,0.4423602,0.01769441,False,False,3937
0.04,0.4574377,0.01829751,True,True,851
0.04,0.6927798,0.02771119,True,True,3947
0.02,0.5486206,0.01097241,False,False,2044
0.02,0.1647587,0.003295173,True,False,1402
0.02,0.1544799,0.003089598,True,False,2250
0.02,0.1717591,0.003435181,False,True,12405
0.02,0.4303299,0.008606597,True,True,2051
0.02,0.6629419,0.01325884,True,False,4109
0.02,0.58143,0.0116286,True,True,1092
0.02,0.5276293,0.01055259,True,True,993
0.02,0.7652874,0.01530575,False,True,1149
0.01,0.658621,0.00658621,True,False,5562
0.01,0.6266358,0.006266358,True,True,1195
0.01,0.2593387,0.002593387,True,True,2168
0.01,0.6079202,0.006079202,False,False,1443
0.01,0.6804506,0.006804505,False,False,3034
0.01,0.7702858,0.007702858,False,True,1594
0.01,0.6967856,0.006967856,False,True,1842
0.01,0.3706486,0.003706486,True,True,935
0.01,0.1470292,0.001470292,False,True,2007
0.015,0.5101308,0.007651961,True,True,1227
0.015,0.2571057,0.003856586,False,False,1029
0.015,0.3722717,0.005584076,False,False,1274
0.015,0.2227409,0.003341113,True,True,2594
0.015,0.3159824,0.004739735,False,False,1758
0.015,0.4167821,0.006251731,True,True,2251
0.015,0.3030528,0.004545791,True,True,4323
0.015,0.317113,0.004756695,False,False,4866
0.015,0.5449192,0.008173788,False,True,1353
