k, I, deltaI, result, shouldFit, time
0.08,0.1615991,0.01292793,True,False,33366
0.08,0.5803624,0.04642899,True,True,20557
0.08,0.1279102,0.01023281,True,False,14279
0.08,0.2860852,0.02288682,False,False,19481
0.08,0.6979555,0.05583644,True,True,41273
0.08,0.5943534,0.04754827,True,True,23587
0.08,0.3687142,0.02949714,True,True,6163
0.08,0.5497918,0.04398334,True,True,23341
0.08,0.7004507,0.05603606,True,True,201614
0.04,0.7643031,0.03057212,True,False,5032
0.04,0.5300046,0.02120018,False,True,2837
0.04,0.3755431,0.01502172,True,False,3812
0.04,0.775069,0.03100276,True,False,32329
0.04,0.1999625,0.0079985,True,True,22585
0.04,0.163565,0.006542602,True,False,21328
0.04,0.1776769,0.007107074,True,True,2341
0.04,0.2843299,0.01137319,False,True,36694
0.04,0.213207,0.008528281,True,True,56913
0.02,0.2598563,0.005197126,False,False,47076
0.02,0.6031159,0.01206232,False,True,38724
0.02,0.1420605,0.002841211,True,False,15649
0.02,0.1026133,0.002052266,True,True,13356
0.02,0.5261863,0.01052373,True,False,25691
0.02,0.6066723,0.01213345,True,False,57707
0.02,0.1541288,0.003082576,False,True,2532
0.02,0.1875469,0.003750938,True,True,10309
0.02,0.6172637,0.01234527,True,False,131989
0.01,0.6871027,0.006871027,False,True,15812
0.01,0.3622593,0.003622593,False,False,17870
0.01,0.6204994,0.006204993,False,True,7791
0.01,0.6990124,0.006990124,False,True,9696
0.01,0.1738386,0.001738386,True,False,25697
0.01,0.2775176,0.002775175,False,False,15102
0.01,0.1921556,0.001921556,False,False,15024
0.01,0.3150917,0.003150917,False,False,5166
0.01,0.1554273,0.001554273,True,False,3758
0.015,0.5621091,0.008431636,False,True,10758
0.015,0.4292254,0.006438381,False,True,3663
0.015,0.1803938,0.002705907,True,True,10379
0.015,0.6276272,0.009414407,False,False,13650
0.015,0.4756209,0.007134313,True,True,16856
0.015,0.2258614,0.00338792,False,True,1407
0.015,0.4907441,0.007361161,False,False,3936
0.015,0.3100146,0.004650219,True,True,9348
0.015,0.1790828,0.002686243,False,True,12921
