k, I, deltaI, result, shouldFit, time
0.08,0.756642,0.06053136,True,False,7751
0.08,0.1477846,0.01182276,True,False,2157
0.08,0.7839331,0.06271464,True,False,8374
0.08,0.6952807,0.05562246,True,True,2300
0.08,0.6533293,0.05226634,True,True,8638
0.08,0.4550864,0.03640692,True,False,1621
0.08,0.1618478,0.01294782,True,False,1852
0.08,0.2491505,0.01993204,True,False,1962
0.08,0.2270133,0.01816107,True,False,1422
0.04,0.184342,0.007373678,True,False,1825
0.04,0.4134397,0.01653759,True,True,4807
0.04,0.3888253,0.01555301,True,False,1139
0.04,0.2637444,0.01054978,True,False,1621
0.04,0.1168652,0.004674608,True,False,1468
0.04,0.7847638,0.03139055,False,True,9891
0.04,0.665008,0.02660032,True,False,2217
0.04,0.6816785,0.02726714,True,False,2333
0.04,0.7234756,0.02893903,True,True,2030
0.02,0.532347,0.01064694,True,False,2895
0.02,0.1048689,0.002097379,False,True,2356
0.02,0.3518548,0.007037095,True,False,2611
0.02,0.5549436,0.01109887,True,False,3214
0.02,0.4170541,0.008341082,False,True,4866
0.02,0.3643929,0.007287859,True,False,1284
0.02,0.6445302,0.0128906,True,False,2275
0.02,0.6806076,0.01361215,True,True,1876
0.02,0.2135567,0.004271133,True,False,1391
0.01,0.7474051,0.007474051,True,True,2418
0.01,0.3845843,0.003845843,True,False,1983
0.01,0.1687164,0.001687164,False,True,5870
0.01,0.1921553,0.001921553,False,True,1758
0.01,0.2028779,0.002028779,False,True,1441
0.01,0.7777672,0.007777672,True,True,2955
0.01,0.5419299,0.005419299,True,True,11523
0.01,0.1725329,0.001725329,False,True,1396
0.01,0.2993343,0.002993343,True,False,1879
0.005,0.2185211,0.001092606,False,True,1820
0.005,0.4826408,0.002413204,True,True,2202
0.005,0.1333234,0.0006666172,False,True,1611
0.005,0.4515817,0.002257908,False,True,11233
0.005,0.4657583,0.002328792,False,True,6720
0.005,0.1098331,0.0005491655,True,False,3166
0.005,0.6785388,0.003392694,True,True,3425
0.005,0.1896372,0.0009481862,False,True,1369
0.005,0.4514479,0.00225724,True,False,3293
0.0075,0.3054315,0.002290736,True,False,2167
0.0075,0.4413759,0.00331032,False,True,2704
0.0075,0.6920438,0.005190328,True,True,2397
0.0075,0.5197007,0.003897755,True,False,3037
0.0075,0.4261325,0.003195994,True,False,10084
0.0075,0.7497728,0.005623296,True,False,1225
0.0075,0.2792938,0.002094703,True,False,1166
0.0075,0.3429822,0.002572367,False,True,1215
0.0075,0.5959573,0.00446968,True,True,3028
0.00625,0.5242603,0.003276627,True,False,1543
0.00625,0.6783229,0.004239518,True,True,1550
0.00625,0.317,0.00198125,True,False,1329
0.00625,0.2729084,0.001705677,False,True,1114
0.00625,0.1295234,0.000809521,True,False,1373
0.00625,0.3236701,0.002022938,True,False,2228
0.00625,0.3161035,0.001975647,True,False,955
0.00625,0.5031071,0.003144419,False,False,2765
0.00625,0.6368046,0.003980029,True,True,2718
0.005625,0.6834486,0.003844398,False,False,3197
0.005625,0.4579239,0.002575822,True,False,2769
0.005625,0.6156461,0.003463009,True,True,3956
0.005625,0.5162428,0.002903866,True,False,1332
0.005625,0.7230743,0.004067293,False,False,2239
0.005625,0.6890077,0.003875668,False,True,6660
0.005625,0.7769621,0.004370412,True,True,1813
0.005625,0.4250871,0.002391115,False,True,1594
0.005625,0.4585164,0.002579154,True,False,1170
