k, I, deltaI, result, shouldFit, time
0.08,0.7715929,0.06172743,True,False,42573
0.08,0.7577159,0.06061727,False,False,12230
0.08,0.2621479,0.02097183,False,False,2491
0.08,0.6046303,0.04837042,True,True,1409
0.08,0.403375,0.03227,False,False,1621
0.08,0.5620549,0.04496439,True,True,3496
0.08,0.77358,0.0618864,True,True,6049
0.08,0.3272073,0.02617658,False,False,7300
0.08,0.7051624,0.05641299,False,False,1190
0.12,0.5634041,0.0676085,False,False,2020
0.12,0.1963735,0.02356482,False,False,2272
0.12,0.4608148,0.05529778,True,True,1341
0.12,0.7694956,0.09233947,False,False,1658
0.12,0.6957087,0.08348504,True,True,1445
0.12,0.4374862,0.05249834,False,False,1551
0.12,0.1396007,0.01675208,True,False,2640
0.12,0.1275949,0.01531139,True,False,1399
0.12,0.6263213,0.07515855,False,False,1249
0.14,0.6498412,0.09097777,False,False,1555
0.14,0.6861652,0.09606313,True,True,1294
0.14,0.7676959,0.1074774,True,True,830
0.14,0.1192147,0.01669006,True,False,1546
0.14,0.1930252,0.02702354,True,False,15293
0.14,0.3102524,0.04343533,True,False,6206
0.14,0.7792872,0.1091002,True,True,1240
0.14,0.6790164,0.09506229,True,False,1762
0.14,0.3564512,0.04990317,True,False,3153
0.13,0.2165326,0.02814923,True,False,3467
0.13,0.5284177,0.0686943,False,False,1195
0.13,0.7955493,0.1034214,False,False,1188
0.13,0.3526136,0.04583976,True,True,1247
0.13,0.5760007,0.07488009,True,True,1238
0.13,0.1000628,0.01300816,True,True,3052
0.13,0.126628,0.01646164,True,True,1133
0.13,0.4059967,0.05277957,False,False,1195
0.13,0.3903933,0.05075113,False,False,931
0.125,0.6921915,0.08652393,True,True,933
0.125,0.1113223,0.01391528,True,False,1964
0.125,0.5478183,0.06847728,False,False,879
0.125,0.5840034,0.07300042,False,False,1089
0.125,0.6722523,0.08403153,False,False,775
0.125,0.3822066,0.04777582,True,True,1396
0.125,0.2406925,0.03008656,True,True,928
0.125,0.121726,0.01521574,True,True,1609
0.125,0.2819133,0.03523915,False,False,3679
0.1225,0.2024929,0.02480538,True,False,2850
0.1225,0.2113969,0.02589612,True,True,1498
0.1225,0.7783279,0.09534517,False,False,1143
0.1225,0.166103,0.02034761,True,True,1294
0.1225,0.1560325,0.01911398,True,True,3730
0.1225,0.7827172,0.09588285,False,False,2554
0.1225,0.7227154,0.08853263,True,True,1185
0.1225,0.7028186,0.08609528,True,False,1198
0.1225,0.4866288,0.05961202,False,False,1237
0.12125,0.6831869,0.0828364,True,True,941
0.12125,0.6787916,0.08230348,True,True,1201
0.12125,0.1639927,0.01988412,True,False,3561
0.12125,0.6255386,0.07584656,True,True,1147
0.12125,0.6860947,0.08318898,True,True,721
0.12125,0.5522755,0.0669634,True,True,776
0.12125,0.6594317,0.07995609,True,True,726
0.12125,0.1318561,0.01598755,True,False,1914
0.12125,0.5075513,0.0615406,True,False,1969
0.120625,0.3533907,0.04262775,True,True,1350
0.120625,0.3596978,0.04338855,True,True,1138
0.120625,0.1580333,0.01906276,True,False,1507
0.120625,0.2572168,0.03102678,True,True,1447
0.120625,0.4725485,0.05700117,True,True,1093
0.120625,0.2843911,0.03430467,True,False,2954
0.120625,0.135637,0.01636121,True,True,3980
0.120625,0.4062474,0.04900359,False,False,1198
0.120625,0.2333308,0.02814553,True,True,1151
0.1203125,0.3758722,0.04522212,True,True,1183
0.1203125,0.1105319,0.01329837,True,True,2079
0.1203125,0.3090531,0.03718295,True,True,1134
0.1203125,0.6523532,0.07848625,True,True,7932
0.1203125,0.7255059,0.08728743,True,True,1249
0.1203125,0.2619953,0.03152131,False,False,1189
0.1203125,0.2066217,0.02485917,True,False,7658
0.1203125,0.3125266,0.03760085,True,True,1970
0.1203125,0.6269112,0.07542525,False,False,1090
0.1201562,0.4107184,0.04935037,True,True,1236
0.1201562,0.4251849,0.05108862,True,True,1659
0.1201562,0.3010203,0.03616947,True,False,1558
0.1201562,0.7663983,0.09208754,False,False,882
0.1201562,0.2670676,0.03208984,True,True,1250
0.1201562,0.3558171,0.04275364,True,True,821
0.1201562,0.3538658,0.04251919,True,True,1149
0.1201562,0.6586428,0.07914004,False,False,1185
0.1201562,0.2320671,0.02788431,True,True,2113
0.1200781,0.1802583,0.02164507,True,True,974
0.1200781,0.3822337,0.04589791,False,False,15344
0.1200781,0.7518916,0.09028572,True,True,1183
0.1200781,0.2005687,0.02408392,True,False,1756
0.1200781,0.3314702,0.03980232,True,True,1083
0.1200781,0.6639769,0.0797291,False,False,2118
0.1200781,0.5175624,0.06214792,False,False,1242
0.1200781,0.6256928,0.07513201,False,False,1138
0.1200781,0.5516471,0.06624075,False,False,1032
0.1201172,0.7297199,0.08765189,True,True,771
0.1201172,0.4048973,0.04863512,True,True,1249
0.1201172,0.3801584,0.04566356,False,False,874
0.1201172,0.6619641,0.07951326,False,False,1028
0.1201172,0.2652035,0.03185549,True,True,1836
0.1201172,0.6490417,0.07796106,True,True,885
0.1201172,0.4874777,0.05855445,False,False,1137
0.1201172,0.4738878,0.05692206,True,True,1088
0.1201172,0.4532379,0.05444165,True,True,2847
0.1200977,0.127899,0.01536037,True,False,1433
0.1200977,0.6119598,0.07349493,True,True,1034
0.1200977,0.4975607,0.05975587,True,False,3385
0.1200977,0.2537162,0.03047072,False,False,994
0.1200977,0.5268589,0.06327451,True,True,1035
0.1200977,0.2103018,0.02525676,True,True,1034
0.1200977,0.5459093,0.06556243,True,True,875
0.1200977,0.6060751,0.07278819,False,False,1436
0.1200977,0.6580318,0.07902808,True,True,1471
0.1200879,0.1381633,0.01659174,True,False,1314
0.1200879,0.1131794,0.01359147,True,True,2308
0.1200879,0.775895,0.09317559,True,True,1156
0.1200879,0.6873464,0.08254197,True,True,836
0.1200879,0.6495183,0.07799927,False,False,1157
0.1200879,0.1552779,0.01864699,True,False,1629
0.1200879,0.7199182,0.08645345,True,True,875
0.1200879,0.654634,0.07861361,True,False,1752
0.1200879,0.6325568,0.07596241,True,True,915
0.120083,0.1394707,0.01674806,True,False,1314
0.120083,0.5064631,0.06081761,True,True,755
0.120083,0.4355412,0.05230109,True,True,1313
0.120083,0.3200799,0.03843616,True,True,796
0.120083,0.6245886,0.07500248,True,True,875
0.120083,0.7537039,0.09050703,True,True,836
0.120083,0.6428556,0.07719604,True,False,1234
0.120083,0.5480776,0.06581481,True,False,2229
0.120083,0.399038,0.04791768,True,True,836
0.1200806,0.3822498,0.04590077,True,True,1036
0.1200806,0.6541392,0.0785494,True,True,3424
0.1200806,0.7778196,0.09340101,False,False,4941
0.1200806,0.3092904,0.03713976,True,True,3982
0.1200806,0.7929486,0.09521771,True,True,2868
0.1200806,0.5644098,0.06777465,True,True,1072
0.1200806,0.7715078,0.09264309,False,False,1075
0.1200806,0.6500373,0.07805684,False,False,956
0.1200806,0.3313113,0.03978405,True,True,1073
0.1200793,0.5076754,0.06096133,False,False,2111
0.1200793,0.7939141,0.09533267,False,False,997
0.1200793,0.3389825,0.04070479,True,True,5212
0.1200793,0.1855722,0.02228339,True,True,3501
0.1200793,0.6472576,0.07772227,False,False,1354
0.1200793,0.44269,0.05315793,False,False,1154
0.1200793,0.6834705,0.08207069,True,True,995
0.1200793,0.7730758,0.09283043,False,False,1513
0.1200793,0.5273409,0.06332275,True,False,9202
0.1200799,0.430376,0.05167953,True,False,6729
0.1200799,0.1601486,0.01923063,False,True,1669
0.1200799,0.2498443,0.03000129,True,True,1233
0.1200799,0.2963957,0.03559118,True,True,1113
0.1200799,0.6178608,0.0741927,False,False,1154
0.1200799,0.4133324,0.04963293,True,True,1075
0.1200799,0.2948351,0.03540378,True,False,1593
0.1200799,0.5255631,0.06310959,False,False,1034
0.1200799,0.7694262,0.09239265,False,False,915
0.1200796,0.7948879,0.09544986,False,False,836
0.1200796,0.589211,0.07075225,False,False,1116
0.1200796,0.3944553,0.04736605,False,False,2226
0.1200796,0.3086936,0.03706782,True,False,2188
0.1200796,0.1597131,0.0191783,False,True,2030
0.1200796,0.4295174,0.0515763,False,False,1113
0.1200796,0.5652744,0.06787795,False,False,1274
0.1200796,0.7470104,0.08970074,True,True,955
0.1200796,0.2207484,0.02650739,True,False,2228
