k, I, deltaI, result, shouldFit, time
0.08,0.4002457,0.03201966,True,False,11472
0.08,0.3911297,0.03129037,True,True,4684
0.08,0.3824695,0.03059756,True,False,1131
0.08,0.4087186,0.03269749,True,False,1360
0.08,0.675574,0.05404592,True,False,1752
0.08,0.7874499,0.06299599,True,True,1751
0.08,0.3631938,0.0290555,True,False,1327
0.08,0.1839302,0.01471441,True,False,1739
0.08,0.5530345,0.04424276,True,False,2110
0.04,0.1403863,0.00561545,True,False,2131
0.04,0.5392395,0.02156958,True,True,3441
0.04,0.4995179,0.01998072,True,True,2030
0.04,0.7895592,0.03158237,True,False,1493
0.04,0.4093246,0.01637298,True,False,1649
0.04,0.2595012,0.01038005,False,True,2182
0.04,0.7747011,0.03098804,True,False,1414
0.04,0.2477581,0.009910322,False,True,2224
0.04,0.7396363,0.02958545,True,False,1520
0.02,0.4424087,0.008848174,False,True,2914
0.02,0.7878683,0.01575737,True,True,1244
0.02,0.3627535,0.007255069,True,False,1207
0.02,0.1257154,0.002514307,True,False,1428
0.02,0.2823896,0.005647792,True,False,1520
0.02,0.5086244,0.01017249,True,True,1367
0.02,0.7571096,0.01514219,False,False,1321
0.02,0.2639973,0.005279947,True,True,1248
0.02,0.5332342,0.01066468,True,False,1279
0.01,0.2683991,0.002683991,True,False,1082
0.01,0.7613223,0.007613223,False,False,1329
0.01,0.4744375,0.004744375,False,False,1599
0.01,0.5704747,0.005704748,False,True,1773
0.01,0.2482901,0.002482901,True,True,1322
0.01,0.4519907,0.004519906,True,False,1240
0.01,0.3660055,0.003660055,True,True,1553
0.01,0.7408013,0.007408013,False,True,2532
0.01,0.7680104,0.007680104,False,True,1044
0.015,0.4667372,0.007001059,True,True,1638
0.015,0.2871294,0.004306941,True,False,1287
0.015,0.6384459,0.009576689,False,False,1055
0.015,0.6631874,0.00994781,True,True,3344
0.015,0.1968912,0.002953367,True,False,1638
0.015,0.3301765,0.004952648,True,True,2820
0.015,0.7291731,0.0109376,False,False,9445
0.015,0.3498417,0.005247626,True,True,2031
0.015,0.4597614,0.006896421,False,False,1836
0.0125,0.2048608,0.00256076,True,False,1667
0.0125,0.4114186,0.005142733,False,False,3251
0.0125,0.1585336,0.00198167,False,True,4764
0.0125,0.6099153,0.00762394,False,False,4492
0.0125,0.6010934,0.007513667,False,False,1662
0.0125,0.391134,0.004889174,True,True,1393
0.0125,0.2165088,0.00270636,True,True,1591
0.0125,0.4234517,0.005293146,True,False,5690
0.0125,0.3858591,0.004823238,True,True,766
0.01125,0.4249521,0.004780712,False,False,631
0.01125,0.5204974,0.005855596,True,True,2397
0.01125,0.6614485,0.007441295,True,True,10084
0.01125,0.7969015,0.008965141,False,False,1215
0.01125,0.4848722,0.005454812,False,False,1813
0.01125,0.1789298,0.00201296,False,False,3956
0.01125,0.5748041,0.006466546,True,True,1332
0.01125,0.1606876,0.001807735,False,False,955
0.01125,0.4498616,0.005060943,True,True,3028
