k, I, deltaI, result, shouldFit, time
0.08,0.7594236,0.06075388,True,False,11057
0.08,0.4748224,0.03798579,True,True,1705
0.08,0.6485767,0.05188614,True,False,4869
0.08,0.2327167,0.01861733,True,False,1940
0.08,0.3231429,0.02585143,True,False,6121
0.08,0.1667076,0.01333661,True,False,1847
0.08,0.3579307,0.02863446,True,True,1773
0.08,0.194532,0.01556256,False,True,1750
0.08,0.2173099,0.0173848,False,True,3394
0.04,0.7655257,0.03062103,True,False,8704
0.04,0.1240146,0.004960583,True,False,1586
0.04,0.7159153,0.02863661,True,True,3197
0.04,0.7365952,0.02946381,True,True,5116
0.04,0.6836255,0.02734502,False,True,1998
0.04,0.1875518,0.007502073,True,False,2397
0.04,0.6391471,0.02556588,True,True,4773
0.04,0.1688201,0.006752803,False,True,1945
0.04,0.3699321,0.01479728,True,True,7904
0.02,0.4529855,0.00905971,True,True,1961
0.02,0.7154318,0.01430864,False,False,1838
0.02,0.5423166,0.01084633,False,False,5714
0.02,0.579574,0.01159148,True,True,2065
0.02,0.3823747,0.007647493,False,True,2239
0.02,0.1517162,0.003034324,False,True,1924
0.02,0.5806376,0.01161275,True,True,1666
0.02,0.6439299,0.0128786,True,True,2284
0.02,0.3015534,0.006031068,True,True,1775
0.01,0.793137,0.00793137,True,True,2754
0.01,0.4291453,0.004291453,False,True,3840
0.01,0.3923872,0.003923872,False,True,2169
0.01,0.5078217,0.005078217,False,False,2334
0.01,0.1187963,0.001187963,True,False,1730
0.01,0.1788901,0.001788901,False,True,1650
0.01,0.6550748,0.006550748,True,True,1576
0.01,0.273693,0.00273693,False,True,11847
0.01,0.5212412,0.005212412,False,False,1998
0.015,0.5440829,0.008161244,False,False,2011
0.015,0.5819018,0.008728527,False,False,3399
0.015,0.371783,0.005576744,True,False,8410
0.015,0.6673052,0.01000958,True,False,4290
0.015,0.4105635,0.006158452,False,False,2136
0.015,0.3537801,0.005306701,True,False,5131
0.015,0.7036665,0.010555,False,False,1728
0.015,0.400579,0.006008686,True,False,7842
0.015,0.283911,0.004258666,False,True,2529
