k, I, deltaI, result, shouldFit, time
0.08,0.4312606,0.03450084,True,False,28017
0.08,0.179464,0.01435712,True,False,5957
0.08,0.5966192,0.04772953,True,True,2437
0.08,0.4011284,0.03209027,True,False,18549
0.08,0.7650998,0.06120798,True,True,1895
0.08,0.2852328,0.02281862,True,False,2797
0.08,0.2405335,0.01924268,True,True,14700
0.08,0.7803636,0.06242908,True,False,4625
0.08,0.3664055,0.02931244,True,True,5126
0.04,0.5854655,0.02341862,False,False,7284
0.04,0.4980779,0.01992312,False,False,10168
0.04,0.2382385,0.009529539,False,True,7730
0.04,0.3797361,0.01518944,True,True,2890
0.04,0.7869384,0.03147753,True,True,23007
0.04,0.5857089,0.02342835,False,False,13649
0.04,0.4232387,0.01692955,True,True,4911
0.04,0.2590227,0.01036091,True,True,9669
0.04,0.5912356,0.02364942,True,True,4470
0.02,0.6011271,0.01202254,True,True,7286
0.02,0.6289412,0.01257882,True,True,5548
0.02,0.7635592,0.01527118,True,True,15451
0.02,0.6237128,0.01247426,False,False,3720
0.02,0.5500704,0.01100141,False,False,3037
0.02,0.2420839,0.004841679,False,True,9871
0.02,0.3557868,0.007115735,False,True,19879
0.02,0.2551358,0.005102716,True,True,3098
0.02,0.1818376,0.003636751,True,False,2412
0.01,0.4607403,0.004607403,False,False,3352
0.01,0.6329491,0.00632949,True,False,4026
0.01,0.7115763,0.007115763,False,True,4568
0.01,0.2002244,0.002002244,True,False,9861
0.01,0.1959681,0.001959681,True,False,3835
0.01,0.7898756,0.007898756,True,True,3288
0.01,0.3660447,0.003660447,True,False,3297
0.01,0.2217869,0.002217869,True,True,5207
0.01,0.1267675,0.001267675,True,True,2441
0.005,0.5152454,0.002576227,False,False,2942
0.005,0.7201691,0.003600846,True,False,3471
0.005,0.587392,0.00293696,False,False,2538
0.005,0.7122941,0.00356147,True,False,4242
0.005,0.6551628,0.003275814,False,False,3211
0.005,0.1587262,0.0007936308,False,True,2677
0.005,0.1404145,0.0007020723,True,True,5650
0.005,0.2693111,0.001346556,False,False,1879
0.005,0.7465786,0.003732893,False,True,6582
0.0075,0.5469453,0.004102089,True,True,1686
0.0075,0.6488977,0.004866733,False,False,2313
0.0075,0.7025643,0.005269232,True,True,3392
0.0075,0.6966876,0.005225157,True,True,4784
0.0075,0.6364642,0.004773481,False,False,2943
0.0075,0.2602538,0.001951903,True,True,10178
0.0075,0.7209885,0.005407414,False,False,3173
0.0075,0.1456447,0.001092336,False,True,3615
0.0075,0.4138679,0.003104009,True,True,1923
0.00625,0.6882122,0.004301326,True,True,5554
0.00625,0.7496724,0.004685452,False,False,2114
0.00625,0.6681213,0.004175758,False,False,1486
0.00625,0.4989275,0.003118297,True,False,2042
0.00625,0.3437257,0.002148286,True,True,6493
0.00625,0.229151,0.001432194,False,False,5549
0.00625,0.2057648,0.00128603,True,True,2052
0.00625,0.5801533,0.003625958,True,True,5166
0.00625,0.1001254,0.0006257838,True,True,4151
