k, I, deltaI, result, shouldFit, time
0.08,0.1307509,0.01046007,True,True,16607
0.08,0.591756,0.04734048,False,False,4958
0.08,0.4548416,0.03638733,False,False,3518
0.08,0.1314124,0.01051299,True,False,1627
0.08,0.4863764,0.03891011,True,False,3408
0.08,0.4534656,0.03627725,True,False,12371
0.08,0.5544527,0.04435622,False,False,3668
0.08,0.5838087,0.0467047,True,False,6237
0.08,0.1355437,0.0108435,True,True,2889
0.04,0.638009,0.02552036,True,False,2143
0.04,0.3461332,0.01384533,True,True,4908
0.04,0.4903297,0.01961319,True,True,1888
0.04,0.4219438,0.01687775,True,True,2589
0.04,0.4223282,0.01689313,True,True,2595
0.04,0.5411428,0.02164571,False,False,4909
0.04,0.7349097,0.02939639,True,False,1669
0.04,0.6238408,0.02495363,True,True,3403
0.04,0.4212696,0.01685078,False,False,4574
0.02,0.7572846,0.01514569,True,False,2355
0.02,0.6370827,0.01274165,True,True,2364
0.02,0.358494,0.007169881,False,True,5702
0.02,0.6247273,0.01249455,False,False,2675
0.02,0.4817783,0.009635566,False,True,1678
0.02,0.4983957,0.009967914,True,True,3167
0.02,0.7453725,0.01490745,True,False,1584
0.02,0.3724339,0.007448678,True,True,6323
0.02,0.105125,0.002102499,True,False,1513
0.01,0.7654415,0.007654415,False,True,2083
0.01,0.3743702,0.003743701,False,False,2034
0.01,0.436289,0.00436289,False,False,5853
0.01,0.379571,0.003795709,False,True,2427
0.01,0.1698627,0.001698627,False,True,1859
0.01,0.4944048,0.004944047,True,False,5532
0.01,0.3254758,0.003254758,False,True,1918
0.01,0.3141083,0.003141083,False,True,1786
0.01,0.169274,0.00169274,True,False,2053
0.015,0.1949028,0.002923542,True,False,1931
0.015,0.2609918,0.003914876,False,False,1935
0.015,0.7456549,0.01118482,True,False,3570
0.015,0.5555646,0.008333469,True,True,2432
0.015,0.4783925,0.007175887,False,True,3373
0.015,0.6491874,0.009737811,False,False,5144
0.015,0.4833632,0.007250448,True,True,1979
0.015,0.5033264,0.007549895,True,True,2550
0.015,0.7010865,0.0105163,True,False,2292
