k, I, deltaI, result, shouldFit, time
0.08,0.563759,0.04510072,False,False,2032
0.08,0.3232544,0.02586035,True,False,2303
0.08,0.6449441,0.05159553,True,False,2303
0.08,0.5469223,0.04375378,True,True,8188
0.08,0.7189586,0.05751669,True,True,2326
0.08,0.3040569,0.02432455,False,True,3469
0.08,0.3412466,0.02729973,True,False,1571
0.08,0.5316614,0.04253291,True,True,2452
0.08,0.6091857,0.04873485,True,True,2422
0.04,0.2760921,0.01104368,True,False,1344
0.04,0.1234911,0.004939644,True,False,1309
0.04,0.5913667,0.02365467,True,False,4408
0.04,0.4249883,0.01699953,True,False,1690
0.04,0.5866295,0.02346518,True,False,9322
0.04,0.5377267,0.02150907,False,True,5781
0.04,0.725732,0.02902928,True,True,3307
0.04,0.5837122,0.02334849,True,False,4053
0.04,0.2236238,0.008944953,True,False,2008
0.02,0.1037808,0.002075616,False,True,1270
0.02,0.3622189,0.007244378,False,True,1836
0.02,0.2453056,0.004906111,True,False,1546
0.02,0.6273378,0.01254675,True,False,4132
0.02,0.5390681,0.01078136,True,True,3087
0.02,0.3751999,0.007503999,False,True,2571
0.02,0.1562717,0.003125433,True,False,1159
0.02,0.752759,0.01505518,True,True,1371
0.02,0.3653135,0.00730627,True,False,3161
0.01,0.4283329,0.004283329,False,True,2214
0.01,0.1968315,0.001968315,False,True,1332
0.01,0.7315954,0.007315954,True,True,2425
0.01,0.3497958,0.003497958,True,False,4730
0.01,0.2789114,0.002789113,True,False,1075
0.01,0.5176352,0.005176351,True,True,1324
0.01,0.5505494,0.005505494,False,False,1833
0.01,0.3888516,0.003888516,False,True,2225
0.01,0.2035042,0.002035042,False,True,1402
0.015,0.6014087,0.009021129,True,False,2832
0.015,0.3097946,0.004646919,False,True,1293
0.015,0.3256149,0.004884224,True,False,1083
0.015,0.4234065,0.006351097,False,False,1873
0.015,0.1387975,0.002081963,True,False,4478
0.015,0.7441939,0.01116291,True,True,4962
0.015,0.4378775,0.006568163,False,True,6313
0.015,0.7176436,0.01076465,True,True,1335
0.015,0.668721,0.01003081,True,True,11279
0.0125,0.5879315,0.007349143,False,True,1621
0.0125,0.7135847,0.008919808,True,True,6690
0.0125,0.1033833,0.001292291,True,False,3253
0.0125,0.4310978,0.005388723,True,False,7876
0.0125,0.2266455,0.002833069,False,True,5078
0.0125,0.5245079,0.006556349,False,False,6769
0.0125,0.7446584,0.009308229,True,True,14281
0.0125,0.4694941,0.005868676,True,False,4236
0.0125,0.5147541,0.006434425,False,True,20463
0.01125,0.4530315,0.005096604,True,False,1717
0.01125,0.4155324,0.004674739,True,False,1629
0.01125,0.1749834,0.001968564,False,True,1447
0.01125,0.657985,0.007402331,True,False,2332
0.01125,0.3004108,0.003379622,True,False,1506
0.01125,0.1042728,0.001173069,False,True,2466
0.01125,0.7050033,0.007931286,True,False,4228
0.01125,0.307988,0.003464864,True,True,2367
0.01125,0.2975903,0.00334789,True,False,1677
0.010625,0.4707176,0.005001375,True,False,7652
0.010625,0.4224671,0.004488713,False,True,6358
0.010625,0.6197857,0.006585223,True,True,1650
0.010625,0.4422033,0.00469841,True,False,3786
0.010625,0.2100965,0.002232275,False,True,5825
0.010625,0.1172113,0.00124537,False,True,2822
0.010625,0.6911256,0.007343208,False,True,6123
0.010625,0.5612519,0.005963301,True,False,6464
0.010625,0.6224631,0.00661367,False,True,2077
0.0109375,0.7194692,0.007869193,False,True,3155
0.0109375,0.6103738,0.006675963,True,False,2222
0.0109375,0.5637771,0.006166312,True,False,3199
0.0109375,0.5698949,0.006233224,True,False,1895
0.0109375,0.1356791,0.00148399,False,True,12567
0.0109375,0.2173913,0.002377717,False,True,3118
0.0109375,0.7400303,0.008094081,True,True,4336
0.0109375,0.5705696,0.006240604,True,False,6179
0.0109375,0.5104948,0.005583537,False,True,5985
0.01078125,0.3802795,0.004099888,True,False,1522
0.01078125,0.4258279,0.004590956,True,False,3739
0.01078125,0.320867,0.003459347,True,False,6931
0.01078125,0.2437807,0.002628261,True,False,2389
0.01078125,0.6658035,0.007178193,True,False,8538
0.01078125,0.3929006,0.00423596,False,True,11639
0.01078125,0.617838,0.006661065,False,False,4064
0.01078125,0.1824439,0.001966973,False,True,2811
0.01078125,0.7111028,0.007666577,False,True,21130
